# id	description_da_full	description_en	confidence
1098	Københavns Praktiserende Lægers Laboratorium, Engsvingel IgE;P	Copenhagen GP Laboratory (KPLL), meadow fescue IgE (plasma)	high
3438	Almen lægehjælp 80, E-mail konsultation besvarelse	General practitioner, e-mail consultation reply	high
3213	Almen Lægehjælp 80, Alvorligt syge og døende — fremmøde (regional §2-aftale, Region Syddanmark)	General practitioner, seriously ill and dying — attendance (regional § 2 agreement, Region of Southern Denmark)	high
2036	Statens Seruminstitut, Frit testosteron (F)	Statens Serum Institut, free testosterone (F)	high
3203	Almen Lægehjælp 80, 3. kontakt – sygebesøg 9-12 km (regional §2-aftale, Region Sjælland)	General practitioner, 3rd contact – sick visit 9-12 km (regional § 2 agreement, Region Zealand)	high
3089	Gynækologi/obstetrik, følgende paracervikal/intracervikal	Gynaecology/obstetrics, subsequent paracervical/intracervical	medium
1400	Københavns Praktiserende Lægers Laboratorium, Pollen+skimmel IgE;P	Copenhagen GP Laboratory (KPLL), pollen + mould IgE (plasma)	high
4219	Kirurgi, fjernelse af polyp, colon 1. med anæstesi	Surgery, removal of polyp, colon, 1st with anaesthesia	high
3212	Almen Lægehjælp 80, Aftalt telefonkonsultation	General practitioner, scheduled telephone consultation	high
3241	Almen Lægehjælp 80, Instruktion i brug af følgende	General practitioner, instruction in use of the following	high
3296	Almen Lægehjælp 80, Videokonsultation 2	General practitioner, video consultation 2	high
3280	Almen Lægehjælp 80, Telefonkonsultation C-vagt	General practitioner, telephone consultation, C on-call	high
3317	Almen lægehjælp 80, §2-aftaler	General practitioner, § 2 agreements	high
2986	Gynækologi/obstetrik, Forundersøgelse inden ambulant, county 15	Gynaecology/obstetrics, pre-examination before outpatient, county 15	medium
2637	Genoptræning, Øfeldt, Optræning handicap pr. 2 timer	Rehabilitation, Øfeldt, disability training per 2 hours	high
3236	Almen Lægehjælp 80, Hjemmebesøg alvorligt syge 21+ km (regional §2-aftale, Region Syddanmark)	General practitioner, home visit for seriously ill 21+ km (regional § 2 agreement, Region of Southern Denmark)	high
2403	Diagnostisk radiologi, nyrer følgende	Diagnostic radiology, kidneys subsequent	high
2888	Psykologhjælp, Indtil 4 km - Amt 42	Psychology service, up to 4 km - county 42	high
3222	Almen Lægehjælp 80, Ekstra psykometriske test (regional §2-aftale, Region Sjælland)	General practitioner, additional psychometric tests (regional § 2 agreement, Region Zealand)	high
1428	Københavns Praktiserende Lægers Laboratorium, Ragweed (f) IgE;P	Copenhagen GP Laboratory (KPLL), ragweed (f) IgE (plasma)	high
3959	Vagtlægehjælp 83, Udlån/instruktion blodtryk	On-call GP service 83, loan/instruction blood pressure	high
3295	Almen Lægehjælp 80, Videokonference pr.	General practitioner, video conference per	high
3234	Almen Lægehjælp 80, Hjemmebesøg alvorligt syge 13-16 km (regional §2-aftale, Region Syddanmark)	General practitioner, home visit for seriously ill 13-16 km (regional § 2 agreement, Region of Southern Denmark)	high
3268	Almen Lægehjælp 80, Skema sygebesøg palliativ aftale (regional §2-aftale, Region Midtjylland)	General practitioner, form sick visit palliative agreement (regional § 2 agreement, Central Denmark Region)	high
2271	Statens Seruminstitut, Vaccine BCG, 1-20 dage	Statens Serum Institut, BCG vaccine, 1-20 days	medium
857	Dermato-venerologi, Kondylomer R81	Dermato-venereology, condylomas R81	high
2640	Genoptræning, Øfeldt, Optræning handicap pr. 1 time	Rehabilitation, Øfeldt, disability training per 1 hour	high
2510	Fysioterapi 51, Palliativ normal behandling	Physiotherapy, palliative normal treatment	high
2638	Genoptræning, Øfeldt, Optræning handicap pr. ½ time	Rehabilitation, Øfeldt, disability training per 0.5 hours	medium
3242	Almen Lægehjælp 80, Konsulterende samtale til børn og familier 3	General practitioner, consultative talk for children and families 3	high
1161	Københavns Praktiserende Lægers Laboratorium, Glycyphagus domesticus IgE;P	Copenhagen GP Laboratory (KPLL), Glycyphagus domesticus IgE (plasma)	medium
3275	Almen Lægehjælp 80, Sygebesøg palliativ aftale op til 4 km (regional §2-aftale, Region Midtjylland)	General practitioner, sick visit palliative agreement up to 4 km (regional § 2 agreement, Central Denmark Region)	high
1608	Medicinsk Laboratorium, P/S-FLECAINID 3	Medical Laboratory, P/S-flecainide 3	high
2110	Statens Seruminstitut, Komplement C4	Statens Serum Institut, complement C4	high
1222	Københavns Praktiserende Lægers Laboratorium, Hundegræs IgE;P	Copenhagen GP Laboratory (KPLL), cocksfoot grass IgE (plasma)	medium
3232	Almen Lægehjælp 80, Gentaget kontakt inden for et år (regional §2-aftale, Region Sjælland)	General practitioner, repeated contact within one year (regional § 2 agreement, Region Zealand)	high
3272	Almen Lægehjælp 80, Sygebesøg palliativ aftale 13-16 km (regional §2-aftale, Region Midtjylland)	General practitioner, sick visit palliative agreement 13-16 km (regional § 2 agreement, Central Denmark Region)	high
1254	Københavns Praktiserende Lægers Laboratorium, Jordfrugtprodukt IgE;P	Copenhagen GP Laboratory (KPLL), Jordfrugt (peanut?) product IgE (plasma)	low
3267	Almen Lægehjælp 80, Skema SPICT (regional §2-aftale, Region Midtjylland)	General practitioner, SPICT form (regional § 2 agreement, Central Denmark Region)	high
3273	Almen Lægehjælp 80, Sygebesøg palliativ aftale 5-8 km (regional §2-aftale, Region Midtjylland)	General practitioner, sick visit palliative agreement 5-8 km (regional § 2 agreement, Central Denmark Region)	high
1319	Københavns Praktiserende Lægers Laboratorium, Magnesium;dU	Copenhagen GP Laboratory (KPLL), magnesium (24-hour urine)	high
1534	Københavns Praktiserende Lægers Laboratorium, Valnød IgE;P	Copenhagen GP Laboratory (KPLL), walnut IgE (plasma)	high
3201	Almen Lægehjælp 80, 2. kontakt – sygebesøg 5-8 km (regional §2-aftale, Region Sjælland)	General practitioner, 2nd contact – sick visit 5-8 km (regional § 2 agreement, Region Zealand)	high
2126	Statens Seruminstitut, MBL deficiens undersøgelse,	Statens Serum Institut, MBL deficiency examination,	medium
3274	Almen Lægehjælp 80, Sygebesøg palliativ aftale 9-12 km (regional §2-aftale, Region Midtjylland)	General practitioner, sick visit palliative agreement 9-12 km (regional § 2 agreement, Central Denmark Region)	high
2004	Statens Seruminstitut, Dehydroepiandrosteron	Statens Serum Institut, dehydroepiandrosterone	high
2216	Statens Seruminstitut, Sexualhormonbindende globulin	Statens Serum Institut, sex hormone-binding globulin	medium
1473	Københavns Praktiserende Lægers Laboratorium, Supplement - dU-5-HIAA	Copenhagen GP Laboratory (KPLL), supplement - dU-5-HIAA	high
2232	Statens Seruminstitut, TPB Standard + coli + 3 supplementer	Statens Serum Institut, TPB Standard + coli + 3 supplements	medium
1043	Københavns Praktiserende Lægers Laboratorium, Chromogranin A;P	Copenhagen GP Laboratory (KPLL), Chromogranin A;P	high
1427	Københavns Praktiserende Lægers Laboratorium, Quetiapin;P	Copenhagen GP Laboratory (KPLL), Quetiapine;P	high
1582	Medicinsk Laboratorium, DNA(F)-GENEFEC 35	Medical Laboratory, DNA(F)-GENEFEC 35	medium
2624	Ridefysioterapi, Rideskole uden hal, 2 personer	Horseback-riding physiotherapy, riding school without indoor arena, 2 persons	medium
568	Psykiatri, Møde 3 moduler	Psychiatry, meeting 3 modules	high
1329	Københavns Praktiserende Lægers Laboratorium, Metanefriner;P	Copenhagen GP Laboratory (KPLL), metanephrines;P	high
2008	Statens Seruminstitut, Difteri vaccine til	Statens Serum Institut, diphtheria vaccine for	medium
1434	Københavns Praktiserende Lægers Laboratorium, Retikulin	Copenhagen GP Laboratory (KPLL), reticulin	high
3437	Almen lægehjælp 80, E-mail konsultation sende svar	General practitioner, e-mail consultation sending reply	medium
4218	Kirurgi, fjernelse af polyp rectum, 1 med anæstesi	Surgery, removal of rectal polyp, 1st with anaesthesia	medium
3235	Almen Lægehjælp 80, Hjemmebesøg alvorligt syge 17-20 km (regional §2-aftale, Region Syddanmark)	General practitioner, home visit seriously ill 17-20 km (regional § 2 agreement, Region of Southern Denmark)	high
3897	Vagtlægehjælp 83, Anoskopi	On-call GP service 83, anoscopy	high
2094	Statens Seruminstitut, Humant normalt immunglobulin	Statens Serum Institut, human normal immunoglobulin	medium
890	Dermato-venerologi, Syringomer R81	Dermato-venereology, syringomas R81	high
2236	Statens Seruminstitut, TPB Standard + 3 supplementer	Statens Serum Institut, TPB Standard + 3 supplements	medium
2250	Statens Seruminstitut, Thyreoglobulin (serum)	Statens Serum Institut, thyroglobulin (serum)	medium
3357	Almen lægehjælp 80, Afstandstakst pr. km	General practitioner, distance supplement per km	high
1223	Københavns Praktiserende Lægers Laboratorium, Husdyr (ex1) IgE;P	Copenhagen GP Laboratory (KPLL), domestic animals (ex1) IgE;P	high
941	Københavns Praktiserende Lægers Laboratorium, Acarus siro IgE;P	Copenhagen GP Laboratory (KPLL), Acarus siro IgE;P	high
4129	Kirurgi, Operation Bulla Finger, 1 med anæstesi	Surgery, operation bulla finger, 1st with anaesthesia	medium
931	Københavns Praktiserende Lægers Laboratorium, 2 forsendelser	Copenhagen GP Laboratory (KPLL), 2 dispatches	high
3078	Gynækologi/obstetrik, Vaginalplastik følgende	Gynaecology/obstetrics, vaginal plasty subsequent	medium
3845	Kak vagtlægehjælp 82, Flere sikrede ved institutionsbesøg	KAK on-call GP 82, several insured persons at institution visit	medium
1964	Statens Seruminstitut, Astrovirus antigen	Statens Serum Institut, astrovirus antigen	high
1114	Københavns Praktiserende Lægers Laboratorium, F-Patogene bakterier U	Copenhagen GP Laboratory (KPLL), F-pathogenic bacteria U	medium
3133	Intern medicin, Ekkokardiografi	Internal medicine, echocardiography	high
3785	Almen lægehjælp 80, § 2-aftale 4405	General practitioner, § 2 agreement 4405	high
2846	Vederlagsfri fysioterapi, Termiske behandling	Free-of-charge physiotherapy, thermal treatment	high
4015	Præhospital, Tilkald A42	Pre-hospital, call-out A42	medium
4099	Kirurgi, Gipsbandager	Surgery, plaster casts	high
4005	Præhospital, Beredskabshonorar pr. time A42	Pre-hospital, standby fee per hour A42	low
2247	Statens Seruminstitut, Tetanus vaccine 1 dosis	Statens Serum Institut, tetanus vaccine 1 dose	medium
4119	Kirurgi, Kolposkopi	Surgery, colposcopy	high
2009	Statens Seruminstitut, Difteri-Tetanus vaccine	Statens Serum Institut, diphtheria-tetanus vaccine	medium
1601	Medicinsk Laboratorium, P-PTH INTAKT	Medical Laboratory, P-PTH intact	high
1666	Medicinsk Laboratorium, S-INSULIN	Medical Laboratory, S-insulin	high
2275	Statens Seruminstitut, Virus transportmedium	Statens Serum Institut, virus transport medium	medium
1602	Medicinsk Laboratorium, P-RENIN	Medical Laboratory, P-renin	high
2235	Statens Seruminstitut, TPB Standard + 2 supplementer	Statens Serum Institut, TPB Standard + 2 supplements	medium
1641	Medicinsk Laboratorium, S-ASAT	Medical Laboratory, S-ASAT	high
524	Plastikkirurgi, 1. Operationer	Plastic surgery, 1st operations	high
2248	Statens Seruminstitut, Tetanus vaccine 10	Statens Serum Institut, tetanus vaccine 10	medium
4143	Kirurgi, Operation knyst, følgende	Surgery, operation bunion, subsequent	high
430	Ørelægehjælp, Impedansaudiometri	ENT service, impedance audiometry	high
495	Ørelægehjælp, Tone-/taleaudiometri	ENT service, tone/speech audiometry	high
3436	Almen lægehjælp 80, Dyrkning af bakterier 3	General practitioner, culture of bacteria 3	high
3471	Almen lægehjælp 80, Gonokokker sekret 3	General practitioner, gonococci secretion 3	medium
2586	Ortonyxi, 1. Modul for bøjle	Orthonyxia, 1st module for brace	medium
2587	Ortonyxi, 2.-4. Modul for bøjle	Orthonyxia, 2nd-4th module for brace	medium
3907	Vagtlægehjælp 83, Besøg på ruten	On-call GP service 83, visit on the route	high
3892	Vagtlægehjælp 83, Afstandstakst 21 km	On-call GP service 83, distance supplement 21 km	high
3691	Almen lægehjælp 80, Telefonkonsultation med recept	General practitioner, telephone consultation with prescription	high
426	Ørelægehjælp, Gennemskylning af trommehinde med anæstesi	ENT service, flushing of eardrum with anaesthesia	medium
3695	Almen lægehjælp 80, Trichomonas vaginal 3	General practitioner, Trichomonas vaginal 3	high
2482	Fysioterapi 51, El-stimulation	Physiotherapy 51, electrical stimulation	high
2558	Fodterapi, Behandlingsmoduler	Podiatry, treatment modules	high
4212	Kirurgi, Zinklim- & Plastbind	Surgery, zinc paste and plastic bandage	medium
3712	Almen lægehjælp 80, Urin for glukose uden stix 1	General practitioner, urine for glucose without stix 1	high
2442	Tandlægehjælp, Maximum 1 Måned 1704	Dental service, maximum 1 month 1704	medium
3720	Almen lægehjælp 80, Urobilin i urin 3	General practitioner, urobilin in urine 3	high
3670	Almen lægehjælp 80, Thrombocytter 3	General practitioner, thrombocytes 3	high
2317	Diagnostisk radiologi, Bryst med lunger, halvt	Diagnostic radiology, chest with lungs, half	medium
2318	Diagnostisk radiologi, Bryst med lunger & hjerte	Diagnostic radiology, chest with lungs & heart	medium
2579	Fodterapi, Penselbehandling hjemme over 10	Podiatry, brush treatment at home over 10	low
2787	Vederlagsfri fysioterapi, El-stimulation	Free-of-charge physiotherapy, electrical stimulation	high
363	Ortopædisk kirurgi, Zinklim- & Plastbind	Orthopaedic surgery, zinc paste and plastic bandage	medium
3470	Almen lægehjælp 80, Galdefarvestoffer i urin 1	General practitioner, bile pigments in urine 1	medium
3596	Almen lægehjælp 80, Oscillometri 2 ekstremiteter 6	General practitioner, oscillometry 2 extremities 6	high
3713	Almen lægehjælp 80, Urin for keton uden stix 1	General practitioner, urine for ketone without stix 1	high
4142	Kirurgi, Operation knyst, 1.	Surgery, operation bunion, 1st	high
2829	Vederlagsfri fysioterapi, Ledmobilisering	Free-of-charge physiotherapy, joint mobilisation	high
3443	Almen lægehjælp 80, Erytrocytvolumen 1	General practitioner, erythrocyte volume 1	high
2582	Fodterapi, Plejehjem over 10 km	Podiatry, nursing home over 10 km	high
3714	Almen lægehjælp 80, Urin: F. protein uden stix, 1. prøve	General practitioner, urine: protein without stix, 1st sample	medium
912	Dermato-venerologi, Zinklimbind og plastbind	Dermato-venereology, zinc paste bandage and plastic bandage	medium
2358	Diagnostisk radiologi, Lår og hofteled	Diagnostic radiology, thigh and hip joint	high
3718	Almen lægehjælp 80, Urinstof i serum, 3	General practitioner, urea in serum, 3	medium
3594	Almen lægehjælp 80, Ormeæg i analafskrab, 2	General practitioner, worm eggs in anal scraping, 2	medium
2325	Diagnostisk radiologi, Dobbeltkontrastundersøgelse af tyktarm (colon)	Diagnostic radiology, double-contrast examination of the large intestine (colon)	medium
2327	Diagnostisk radiologi, E-mail konsultation	Diagnostic radiology, e-mail consultation	high
2362	Diagnostisk radiologi, Lænde- og korsbenshvirvler	Diagnostic radiology, lumbar and sacral vertebrae	high
2354	Diagnostisk radiologi, Kranium, halvt	Diagnostic radiology, cranium, half	high
2320	Diagnostisk radiologi, Brysthvirvler, halvt	Diagnostic radiology, thoracic vertebrae, half	high
2333	Diagnostisk radiologi, Fodled, halvt	Diagnostic radiology, ankle joint, half	high
4144	Kirurgi, Operation knyst, 1., med anæstesi	Surgery, bunion operation, 1st, with anaesthesia	high
269	Ortopædisk kirurgi, Diagnostisk artroskopi	Orthopaedic surgery, diagnostic arthroscopy	high
3147	Intern medicin, Kontrol rektoskopi	Internal medicine, follow-up rectoscopy	high
4125	Kirurgi, Kontrol rektoskopi	Surgery, follow-up rectoscopy	high
391	Ørelægehjælp, Concha	ENT service, concha	high
3708	Almen lægehjælp 80, Undersøgelse ved vejledning, 9 uger	General practitioner, examination at guidance, 9 weeks	medium
3309	Almen lægehjælp 80, 1. kighostevaccination	General practitioner, 1st whooping-cough vaccination	high
3328	Almen lægehjælp 80, 3. kighostevaccination	General practitioner, 3rd whooping-cough vaccination	high
3320	Almen lægehjælp 80, 2. kighostevaccination	General practitioner, 2nd whooping-cough vaccination	high
3333	Almen lægehjælp 80, 5. hjælp fødende, 9 uger	General practitioner, 5th aid to woman giving birth, 9 weeks	low
3641	Almen lægehjælp 80, Se-natrium	General practitioner, serum sodium	high
3597	Almen lægehjælp 80, Oscillometri, 4 ekstremiteter, 10	General practitioner, oscillometry, 4 extremities, 10	medium
2344	Diagnostisk radiologi, Hysterosalpingografi	Diagnostic radiology, hysterosalpingography	high
3131	Intern medicin, Ekkokardiografi	Internal medicine, echocardiography	high
2311	Diagnostisk radiologi, Albue, halvt	Diagnostic radiology, elbow, half	high
2316	Diagnostisk radiologi, Bihuler, halvt	Diagnostic radiology, sinuses, half	high
2709	Reumatologi, Zinklimbind	Rheumatology, zinc paste bandage	high
4183	Kirurgi, Sekret-Trichomonas vaginalis, 2	Surgery, secretion-Trichomonas vaginalis, 2	medium
216	Øjenlægehjælp, Retinal fotokoagulation	Ophthalmology service, retinal photocoagulation	high
2342	Diagnostisk radiologi, Halshvirvler, halvt	Diagnostic radiology, cervical vertebrae, half	high
2366	Diagnostisk radiologi, Mave med tolvfingertarm	Diagnostic radiology, stomach with duodenum	high
2332	Diagnostisk radiologi, Fodled	Diagnostic radiology, ankle joint	high
3983	Kak vagtlægehjælp 84, Paracentese-trommehinde	KAK on-call GP 84, paracentesis-eardrum	medium
701	Tropemedicin, Urinprøvetagning, steril, 4	Tropical medicine, urine sampling, sterile, 4	medium
4067	Kirurgi, Bronkoskopi	Surgery, bronchoscopy	high
4123	Kirurgi, Kontrol cystoskopi	Surgery, follow-up cystoscopy	high
392	Ørelægehjælp, Concha, med anæstesi	ENT service, concha, with anaesthesia	high
696	Tropemedicin, Rektoskopi	Tropical medicine, rectoscopy	high
2609	Ortonyxi, Plejehjem over 10 km	Orthonyxia, nursing home over 10 km	high
2337	Diagnostisk radiologi, Haleben, halvt	Diagnostic radiology, coccyx, half	high
2313	Diagnostisk radiologi, Almindelig urografi	Diagnostic radiology, ordinary urography	high
2382	Diagnostisk radiologi, Underarm, halvt	Diagnostic radiology, forearm, half	high
1848	Omegnslaboratorier, P-Thyroxin, total, 16	Regional laboratories, P-thyroxine, total, 16	high
1853	Omegnslaboratorier, P-Triiodthyronin (T3), 20	Regional laboratories, P-triiodothyronine (T3), 20	high
1759	Omegnslaboratorier, P-Basisk phosphatase, 12	Regional laboratories, P-alkaline phosphatase, 12	high
1748	Omegnslaboratorier, P-ASAT (GOT), 12	Regional laboratories, P-ASAT (GOT), 12	high
1754	Omegnslaboratorier, P-Amylase (alfa-amylase), 10	Regional laboratories, P-amylase (alpha-amylase), 10	high
1777	Omegnslaboratorier, P-Creatinin, 6	Regional laboratories, P-creatinine, 6	high
1866	Omegnslaboratorier, Pt-Byture, 50	Regional laboratories, Pt-byture, 50	low
1820	Omegnslaboratorier, P-Natrium, 10	Regional laboratories, P-sodium, 10	high
1806	Omegnslaboratorier, P-Jern, 12	Regional laboratories, P-iron, 12	high
1854	Omegnslaboratorier, P-Triiodthyronin-reaktion, 20	Regional laboratories, P-triiodothyronine reaction, 20	medium
1775	Omegnslaboratorier, P-Cobalamin, 20	Regional laboratories, P-cobalamin, 20	high
1807	Omegnslaboratorier, P-Kalium, 10	Regional laboratories, P-potassium, 10	high
1746	Omegnslaboratorier, P-ALAT, 12	Regional laboratories, P-ALAT, 12	high
1732	Omegnslaboratorier, B-Thrombocytter, 10	Regional laboratories, B-thrombocytes, 10	high
3567	Almen lægehjælp 80, Mononukleosefaktor, 4	General practitioner, mononucleosis factor, 4	high
1865	Omegnslaboratorier, Pt-Bytur, pleje, 2. prøve, 10	Regional laboratories, Pt-bytur, care, 2nd sample, 10	low
1725	Omegnslaboratorier, B-Erythrocytvolumenfraktion, 6	Regional laboratories, B-erythrocyte volume fraction, 6	high
1738	Omegnslaboratorier, Erc-Reticulocytter, 10	Regional laboratories, Erc-reticulocytes, 10	high
1735	Omegnslaboratorier, Erc-Erythrocyt MCV, 6	Regional laboratories, Erc-erythrocyte MCV, 6	high
1736	Omegnslaboratorier, Erc-Folat, 46	Regional laboratories, Erc-folate, 46	high
1851	Omegnslaboratorier, P-Transferrin, 20	Regional laboratories, P-transferrin, 20	high
1785	Omegnslaboratorier, P-Fibrinogen, 16	Regional laboratories, P-fibrinogen, 16	high
1779	Omegnslaboratorier, P-Digoxin, 28	Regional laboratories, P-digoxin, 28	high
1768	Omegnslaboratorier, P-Calcium, total, 10	Regional laboratories, P-calcium, total, 10	high
1836	Omegnslaboratorier, P-RAST, enkelt allergen, 36	Regional laboratories, P-RAST, single allergen, 36	high
1841	Omegnslaboratorier, P-Sur phosphatase, 10	Regional laboratories, P-acid phosphatase, 10	high
1900	Omegnslaboratorier, U-HIAA, 46	Regional laboratories, U-HIAA, 46	high
1911	Omegnslaboratorier, k-Glucose, faste, 6	Regional laboratories, k-glucose, fasting, 6	high
1776	Omegnslaboratorier, P-Cortisol, 52	Regional laboratories, P-cortisol, 52	high
1755	Omegnslaboratorier, P-Androgenstatus	Regional laboratories, P-androgen status	high
1832	Omegnslaboratorier, P-Prolactin, 28	Regional laboratories, P-prolactin, 28	high
1857	Omegnslaboratorier, P-Valproat, 52	Regional laboratories, P-valproate, 52	high
1802	Omegnslaboratorier, Plasma-Immunglobulin E (IgE) 32	Regional laboratories, Plasma immunoglobulin E (IgE) 32	high
1722	Omegnslaboratorier, Blod-Eosinofilocytter 10	Regional laboratories, Blood eosinophils 10	high
1830	Omegnslaboratorier, Plasma-Phosphat (P, non) 10	Regional laboratories, Plasma phosphate (P, non) 10	high
1817	Omegnslaboratorier, Plasma-Magnesium 32	Regional laboratories, Plasma magnesium 32	high
1835	Omegnslaboratorier, Plasma-RAST, Penicillin 52	Regional laboratories, Plasma RAST, penicillin 52	high
1856	Omegnslaboratorier, Plasma-Urat 10	Regional laboratories, Plasma urate 10	high
1867	Omegnslaboratorier, Patient-Byture, plejehjem 50	Regional laboratories, Patient town visits, nursing home 50	medium
1908	Omegnslaboratorier, faste Patient-Cholesterol-HDL 32	Regional laboratories, fasting patient cholesterol HDL 32	high
1723	Omegnslaboratorier, Blod-Erythrocytter, volumenfraktion 6	Regional laboratories, Blood erythrocytes, volume fraction 6	high
1852	Omegnslaboratorier, Plasma-Triiodthyronin (Frit T3) 64	Regional laboratories, Plasma triiodothyronine (free T3) 64	high
1847	Omegnslaboratorier, Plasma-Thyroxin (Frit T4) 64	Regional laboratories, Plasma thyroxine (free T4) 64	high
1788	Omegnslaboratorier, Plasma-Gamma-glutamyltransferase 32	Regional laboratories, Plasma gamma-glutamyltransferase 32	high
1799	Omegnslaboratorier, Plasma-Immunelektroforese	Regional laboratories, Plasma immunoelectrophoresis	high
1864	Omegnslaboratorier, Patient-Blodtryk 10	Regional laboratories, Patient blood pressure 10	high
1846	Omegnslaboratorier, Plasma-Thyreoidea-antistoffer	Regional laboratories, Plasma thyroid antibodies	high
1909	Omegnslaboratorier, faste Patient-Triglycerid 20	Regional laboratories, fasting patient triglyceride 20	high
1899	Omegnslaboratorier, Urin-Glucose, kvantitativt 10	Regional laboratories, Urine glucose, quantitative 10	high
1842	Omegnslaboratorier, Plasma-Syfilis screening STS	Regional laboratories, Plasma syphilis screening STS	high
1804	Omegnslaboratorier, Plasma-Immunglobulin M 32	Regional laboratories, Plasma immunoglobulin M 32	high
1801	Omegnslaboratorier, Plasma-Immunglobulin G 32	Regional laboratories, Plasma immunoglobulin G 32	high
1800	Omegnslaboratorier, Plasma-Immunglobulin A 32	Regional laboratories, Plasma immunoglobulin A 32	high
1823	Omegnslaboratorier, Plasma-Orosomucoid 42	Regional laboratories, Plasma orosomucoid 42	high
1778	Omegnslaboratorier, Plasma-Creatinkinase, total 52	Regional laboratories, Plasma creatine kinase, total 52	high
1808	Omegnslaboratorier, Plasma-Koagulationsfaktor 12	Regional laboratories, Plasma coagulation factor 12	high
1837	Omegnslaboratorier, Plasma-RAST, gruppe 42	Regional laboratories, Plasma RAST, group 42	high
1786	Omegnslaboratorier, Plasma-Folat 52	Regional laboratories, Plasma folate 52	high
1781	Omegnslaboratorier, Plasma-Estradiol	Regional laboratories, Plasma estradiol	high
1745	Omegnslaboratorier, Fæces-Tarmpatogene bakterier	Regional laboratories, Faeces intestinal pathogenic bacteria	high
1730	Omegnslaboratorier, Blod-Malaria-parasitter	Regional laboratories, Blood malaria parasites	high
1897	Omegnslaboratorier, Urin-Formelementer 10	Regional laboratories, Urine formed elements 10	high
1813	Omegnslaboratorier, Plasma-Lipoprotein (a)	Regional laboratories, Plasma lipoprotein (a)	high
1860	Omegnslaboratorier, Plasma-apo-Lipoprotein E	Regional laboratories, Plasma apolipoprotein E	high
1814	Omegnslaboratorier, Plasma-Lithium 14	Regional laboratories, Plasma lithium 14	high
1819	Omegnslaboratorier, Plasma-Mononukleose (EMNI) 10	Regional laboratories, Plasma mononucleosis (EMNI) 10	high
1784	Omegnslaboratorier, Plasma-Ferritin 78	Regional laboratories, Plasma ferritin 78	high
1727	Omegnslaboratorier, Blod-Koagulationstid 8	Regional laboratories, Blood coagulation time 8	high
1764	Omegnslaboratorier, Plasma-CKMB	Regional laboratories, Plasma CK-MB	high
1752	Omegnslaboratorier, Plasma-Alpha-1-foetoprotein 42	Regional laboratories, Plasma alpha-1-fetoprotein 42	high
1844	Omegnslaboratorier, Plasma-Testosteron	Regional laboratories, Plasma testosterone	high
1769	Omegnslaboratorier, Plasma-Carbamazepin 46	Regional laboratories, Plasma carbamazepine 46	high
1831	Omegnslaboratorier, Plasma-Progesteron 36	Regional laboratories, Plasma progesterone 36	high
1774	Omegnslaboratorier, Plasma-Choriongonadotropin	Regional laboratories, Plasma chorionic gonadotropin	high
1743	Omegnslaboratorier, Fæces-Ormeæg og cyster	Regional laboratories, Faeces worm eggs and cysts	high
1895	Omegnslaboratorier, Urin-Choriongonadotropin 10	Regional laboratories, Urine chorionic gonadotropin 10	high
1880	Omegnslaboratorier, Patient-Sperma-undersøgelse, fertilitet 52	Regional laboratories, Patient semen examination, fertility 52	high
1850	Omegnslaboratorier, Plasma-Toxoplasma m.v. test	Regional laboratories, Plasma toxoplasma etc. test	high
1794	Omegnslaboratorier, Plasma-Haptoglobin 52	Regional laboratories, Plasma haptoglobin 52	high
1890	Omegnslaboratorier, Urin-Amylase (alfa-amylase) 10	Regional laboratories, Urine amylase (alpha-amylase) 10	high
1782	Omegnslaboratorier, Plasma-Estrogenstatus	Regional laboratories, Plasma estrogen status	high
1874	Omegnslaboratorier, Patient-EKG-belastning, ergometri 80	Regional laboratories, Patient ECG stress test, ergometry 80	medium
1878	Omegnslaboratorier, Patient-Oscillometri, 2 ekstremiteter 20	Regional laboratories, Patient oscillometry, 2 extremities 20	high
1887	Omegnslaboratorier, Urin-Acetoacetat 2	Regional laboratories, Urine acetoacetate 2	high
1771	Omegnslaboratorier, Plasma-Carbonat + CO2 16	Regional laboratories, Plasma carbonate + CO2 16	high
1829	Omegnslaboratorier, Plasma-Phenytoin 42	Regional laboratories, Plasma phenytoin 42	high
1828	Omegnslaboratorier, Plasma-Phenobarbital 120	Regional laboratories, Plasma phenobarbital 120	high
1751	Omegnslaboratorier, Plasma-Alpha-1-antitrypsin 52	Regional laboratories, Plasma alpha-1-antitrypsin 52	high
1821	Omegnslaboratorier, Plasma-Nortriptylin 68	Regional laboratories, Plasma nortriptyline 68	high
1881	Omegnslaboratorier, Patient-Sperma-undersøgelse, sterilisation 20	Regional laboratories, Patient semen examination, sterilisation 20	high
1795	Omegnslaboratorier, Plasma-Hepatitis C virus-antistoffer	Regional laboratories, Plasma hepatitis C virus antibodies	high
1885	Omegnslaboratorier, Patient-Creatinin-clearance 48	Regional laboratories, Patient creatinine clearance 48	high
1838	Omegnslaboratorier, Plasma-Renin	Regional laboratories, Plasma renin	high
1803	Omegnslaboratorier, Plasma-Immunglobulin E, allergen 32	Regional laboratories, Plasma immunoglobulin E, allergen 32	high
1796	Omegnslaboratorier, Plasma-Herpes simplex virus-antistoffer	Regional laboratories, Plasma herpes simplex virus antibodies	high
1753	Omegnslaboratorier, Plasma-Amitriptylin 92	Regional laboratories, Plasma amitriptyline 92	high
