description_da,n_rows,sample_value,specialty_code,specialty_name_en,spec4_txt,spec3_txt,plo_fuller,current_bad_en
"Almen Lægehjælp 80, Tidstillægsmodul (regional §2-aftale, Region Midtjylland)",1,804590,80,General practitioner,,,,"General practitioner, Tidstillægsmodul (regional §2 agreement, Region Midtjylland)"
"Almen Lægehjælp 80, Tværsektoriel lægelig kommunikation (regional §2-aftale, Region Hovedstaden)",1,804293,80,General practitioner,,,,"General practitioner, Tværsektoriel lægelig kommunikation (regional §2 agreement, Region Hovedstaden)"
"Almen Lægehjælp 80, Type 2-diabetes DD2 model 1 (komplet indrullering) (regional §2-aftale, Region National)",1,804612,80,General practitioner,,,,"General practitioner, Type 2-diabetes DD2 model 1 (komplet indrullering) (regional §2 agreement, Region National)"
"Almen Lægehjælp 80, Type 2-diabetes DD2 model 3 (henvisning) (regional §2-aftale, Region National)",1,804614,80,General practitioner,,,,"General practitioner, Type 2-diabetes DD2 model 3 (henvisning) (regional §2 agreement, Region National)"
"Almen Lægehjælp 80, Type 2-diabetes DD2 model 4 (delvis indrullering / blodprøve) (regional §2-aftale, Region National)",1,804615,80,General practitioner,,,,"General practitioner, Type 2-diabetes DD2 model 4 (delvis indrullering / blodprøve) (regional §2 agreement, Region National)"
"Almen Lægehjælp 80, Urinundersøgelse stix (regional §2-aftale, Region Midtjylland)",1,804308,80,General practitioner,,,,"General practitioner, Urinundersøgelse stix (regional §2 agreement, Region Midtjylland)"
"Almen Lægehjælp 80, Vaccination med klausuleret tilskud",1,808940,80,General practitioner,,,Vaccination med klausuleret tilskud,"General practitioner, Vaccination med klausuleret tilskud"
"Almen Lægehjælp 80, Vaccination mod hepatitis B efter konkret anbefaling fra Styrelsen for Patientsikkerhed",1,808310,80,General practitioner,,,Vaccination mod hepatitis B efter konkret anbefaling fra Styrelsen for Patientsikkerhed,"General practitioner, Vaccination mod hepatitis B efter konkret anbefaling fra Styrelsen for Patientsikkerhed"
"Almen Lægehjælp 80, Vaccination til ikke-immune voksne mod mæslinger (vaccine gives 1 gang)",1,808802,80,General practitioner,,,Vaccination til ikke-immune voksne mod mæslinger (vaccine gives 1 gang),General Medical Help 80
"Almen Lægehjælp 80, Video-/telekonference pr. påbegyndt 10 min. (regional §2-aftale, Region Syddanmark)",1,804435,80,General practitioner,,,,"General practitioner, Video-/telekonference pr. påbegyndt 10 min. (regional §2 agreement, Region Syddanmark)"
"Almen Lægehjælp 80, Videokonference pr",1,800126,80,General practitioner,,,Videokonference pr,"General practitioner, Videokonference pr"
"Almen Lægehjælp 80, Videokonsultation2",1,800125,80,General practitioner,,,Videokonsultation2,"General practitioner, Videokonsultation2"
"Almen Lægehjælp 80, Årlig helbredsundersøgelse (regional §2-aftale, Region Hovedstaden)",1,804286,80,General practitioner,,,,"General practitioner, Årlig helbredsundersøgelse (regional §2 agreement, Region Hovedstaden)"
"Almen Lægehjælp 80, Årsstatus (aftalt specifik forebyggelsesindsats)1",1,800120,80,General practitioner,,,Årsstatus (aftalt specifik forebyggelsesindsats)1,"General practitioner, Årsstatus (aftalt specifik forebyggelsesindsats)1"
"Almen lægehjælp 80, #2-aftale århus ak.",1,804006,80,General practitioner,Forebygg. / sundhed,Forebygg. / sundhed,,"General Medical Help 80, #2-appointment Aarhus"
"Almen lægehjælp 80, (procedure not documented)",181,808935,80,General practitioner,,,,"General Medical Help 80, (procedure not documented)"
"Almen lægehjælp 80, 1 modul",1,808170,80,General practitioner,Undersøg. Af Gravide,Profylakse,,"General medical assistance 80, 1 module"
"Almen lægehjælp 80, 1. Beh. Knoglebrud",1,802111,80,General practitioner,Tillægsydelser,Tillægsyd & Afst.Til,Første behandling af mindre knoglebrud og reposition af skred i mindre led,"General Medical Help 80, Initial Treatment of Bone Fracture"
"Almen lægehjælp 80, 1. Beh. Større Sår",1,802112,80,General practitioner,Tillægsydelser,Tillægsyd & Afst.Til,Første behandling af større sår,"General medical assistance 80, first treatment larger right"
"Almen lægehjælp 80, 1. Hib-vaccination",1,808501,80,General practitioner,Hib-vaccinationer,Profylakse,,"General medical assistance 80, 1st Hib vaccination"
"Almen lægehjælp 80, 1. Tand",1,806701,80,General practitioner,Tandudtrækninger,Samtaleterapi,,"General medical assistance 80, First tooth"
"Almen lægehjælp 80, 1. beh. Brud sk.ben",1,802122,80,General practitioner,Tillægsydelser,Tillægsyd & Afst.Til,"Første behandling af brud på skinneben, lår, over-eller underarm","General medical assistance 80, Initial treatment of broken bone"
"Almen lægehjælp 80, 1.Di-Te-Pol-Vaccinat",1,808321,80,General practitioner,Børnevaccinationer,Profylakse,,"General medical assistance 80, 1st day Tetanus-Diphtheria-Polio vaccination"
"Almen lægehjælp 80, 1.HelbredssamtaleA80",1,804097,80,General practitioner,Forebygg. / sundhed,Forebygg. / sundhed,,"General medical help 80, 1.Health conversationA80"
"Almen lægehjælp 80, 1.Kighostevaccinat.",1,808311,80,General practitioner,Børnevaccinationer,Profylakse,,"General medical assistance 80, 1.Pertussis vaccination."
"Almen lægehjælp 80, 1.Orale Poliovaccin.",1,808331,80,General practitioner,Børnevaccinationer,Profylakse,,"General Medical Help 80, 1 Oral Polio Vaccine."
"Almen lægehjælp 80, 1.Undersøgelse",3,808211,80,General practitioner,Børneund. og div,Profylakse,"Almen praksis, Sikringsgruppe 1","General medical help 80, 1.Examination"
"Almen lægehjælp 80, 1.besøg/hospitel A42",1,804501,80,General practitioner,2-aftaler,Forebygg. / sundhed,,"General Medical Help 80, 1st Visit/Hospitalization A42"
"Almen lægehjælp 80, 1.kon kl.00-08 A65",1,804120,80,General practitioner,2 aftaler,Forebygg. / sundhed,,"General Practice Help 80, 1st Visit Morning 00-08 A65."
"Almen lægehjælp 80, 1.kons.Demens ¤2 A35",1,804131,80,General practitioner,2 aftaler,Forebygg. / sundhed,,"General Doctor Help 80, 1st Consultation Dementia ¤2 A35"
"Almen lægehjælp 80, 1.opf.helbs.(2M) A50",1,804032,80,General practitioner,Forebygg. / sundhed,Forebygg. / sundhed,,"General Medical Help 80, First Health Follow-up (2M) A50"
"Almen lægehjælp 80, 2 moduler",1,808171,80,General practitioner,Undersøg. Af Gravide,Profylakse,,"General doctor help 80, 2 modules"
"Almen lægehjælp 80, 2-aftaler",1,804500,80,General practitioner,2-aftaler,Forebygg. / sundhed,,"General medical assistance 80, 2-day stay"
"Almen lægehjælp 80, 2. Hib-vaccination",1,808502,80,General practitioner,Hib-vaccinationer,Profylakse,,"General medical assistance 80, 2. Hib vaccination"
"Almen lægehjælp 80, 2.Di-Te-Pol-Vaccinat",1,808322,80,General practitioner,Børnevaccinationer,Profylakse,,"General medical assistance 80, 2.Di-Te-Pol-Vaccination"
"Almen lægehjælp 80, 2.Kighostevaccinat.",1,808312,80,General practitioner,Børnevaccinationer,Profylakse,,"General medical assistance 80, 2.Pertussis vaccination."
"Almen lægehjælp 80, 2.Orale Poliovaccin.",1,808332,80,General practitioner,Børnevaccinationer,Profylakse,,"General medical help 80, 2nd Oral Polio Vaccine."
"Almen lægehjælp 80, 2.Undersøgelse",3,808120,80,General practitioner,Undersøg. Af Gravide,Profylakse,"526,26","General medical assistance 80, 2nd Examination."
"Almen lægehjælp 80, 2.opf.helbs.(2M) A50",1,804033,80,General practitioner,Forebygg. / sundhed,Forebygg. / sundhed,,"General medical help 80, 2.Rehabilitation health (2M) A50"
"Almen lægehjælp 80, 3 moduler",1,808172,80,General practitioner,Undersøg. Af Gravide,Profylakse,,"General medical assistance 80, 3 modules"
"Almen lægehjælp 80, 3 u.f. blod i fæces5",1,807152,80,General practitioner,Lab. Undersøgelser,Lab. Undersøgelser,,"General medical assistance 80, 3 visits for blood in stool."
"Almen lægehjælp 80, 3. Hib-vaccination",1,808503,80,General practitioner,Hib-vaccinationer,Profylakse,,"General medical assistance 80, 3. Hib vaccination"
"Almen lægehjælp 80, 3.Di-Te-Pol-Vaccinat",1,808323,80,General practitioner,Børnevaccinationer,Profylakse,,"General medical assistance 80, 3.Diphtheria-Tetanus-Polio Vaccination"
"Almen lægehjælp 80, 3.Kighostevaccinat.",1,808313,80,General practitioner,Børnevaccinationer,Profylakse,,"General medical assistance 80, 3.Pertussis vaccination."
"Almen lægehjælp 80, 3.Orale Poliovaccin.",1,808333,80,General practitioner,Børnevaccinationer,Profylakse,,"General Medical Help 80, 3.Oral Polio Vaccine."
"Almen lægehjælp 80, 3.Undersøgelse",3,808213,80,General practitioner,Børneund. og div,Profylakse,"3. Børneundersøgelse, når barnet er 12 måneder","General Medical Help 80, 3.Examination"
"Almen lægehjælp 80, 4 Hj. Fødende 1.Uge",1,808142,80,General practitioner,Undersøg. Af Gravide,Profylakse,,"General medical assistance 80, 4 Breastfeeding 1st Week"
"Almen lægehjælp 80, 4.Undersøgelse",3,808140,80,General practitioner,Undersøg. Af Gravide,Profylakse,"189,71","General Medical Help 80, 4.Examination"
"Almen lægehjælp 80, 5. Hj. Fødende 9uger",1,808160,80,General practitioner,Undersøg. Af Gravide,Profylakse,,"General medical assistance 80, 5. Help for feeding 9 weeks"
"Almen lægehjælp 80, 5.Undersøgelse",2,808215,80,General practitioner,Børneund. og div,Profylakse,"5. Børneundersøgelse, når barnet er 3 år","General medical assistance 80, 5.Examination"
"Almen lægehjælp 80, 6.Undersøgelse",2,808216,80,General practitioner,Børneund. og div,Profylakse,"6. Børneundersøgelse, når barnet er 4 år","General Physician Help 80, 6.Examination"
"Almen lægehjælp 80, 7.Undersøgelse",2,808217,80,General practitioner,Børneund. og div,Profylakse,§ 7. Børneundersøgelser,"General Practitioner Help 80, 7th Examination"
"Almen lægehjælp 80, 8.Undersøgelse",1,808208,80,General practitioner,Børneund. og div,Profylakse,,"General doctor assistance 80, 8.Examination"
"Almen lægehjælp 80, ALAT",2,807305,80,General practitioner,2-aftale Kbh. Ak.,Lab. Undersøgelser,,"General medical assistance 80, ALT"
"Almen lægehjælp 80, ASAT",2,807302,80,General practitioner,2-aftale Kbh. Ak.,Lab. Undersøgelser,,"General Medical Help 80, AST"
"Almen lægehjælp 80, Addition, Risikoest.",1,804031,80,General practitioner,Forebygg. / sundhed,Forebygg. / sundhed,,"General Medical Help 80, Additional, Risk Assessment"
"Almen lægehjælp 80, Afst.takst ov. 10 km",1,802302,80,General practitioner,Afstandstillæg,Tillægsyd & Afst.Til,"Tillægstakst ved besøg ud over 10 km, pr","General Practitioner Help 80, Fee for Travel Over 10 km"
"Almen lægehjælp 80, Afst.till. ov. 20 Km",2,804206,80,General practitioner,Afst.tillæg,Forebygg. / sundhed,,"General Medical Help 80, Referral within 20 Km"
"Almen lægehjælp 80, Afst.till. ov. 20 km",1,804665,80,General practitioner,Særlig kons. vagttid,Forebygg. / sundhed,,"General ambulatory care 80, Referral within 20 km"
"Almen lægehjælp 80, Afst.tillæg",1,804200,80,General practitioner,Afst.tillæg,Forebygg. / sundhed,,"General medical assistance 80, Referral issued"
"Almen lægehjælp 80, Afst.tillæg 0-4 Km",3,804201,80,General practitioner,Afst.tillæg,Forebygg. / sundhed,,"General Medical Help 80, Referral Distance 0-4 Km"
"Almen lægehjælp 80, Afst.tillæg 0-4 km",1,804660,80,General practitioner,Særlig kons. vagttid,Forebygg. / sundhed,,"General Medical Help 80, Referral Distance 0-4 km"
"Almen lægehjælp 80, Afst.tillæg 12-16 Km",1,804204,80,General practitioner,Afst.tillæg,Forebygg. / sundhed,,"General Physician Help 80, Referral Distance 12-16 Km"
"Almen lægehjælp 80, Afst.tillæg 12-16 km",1,804663,80,General practitioner,Særlig kons. vagttid,Forebygg. / sundhed,,"General medical assistance 80, Transfer 12-16 km"
"Almen lægehjælp 80, Afst.tillæg 16-20 Km",1,804205,80,General practitioner,Afst.tillæg,Forebygg. / sundhed,,"General Medical Help 80, Referral Distance 16-20 Km"
"Almen lægehjælp 80, Afst.tillæg 4-8 Km",2,804066,80,General practitioner,Forebygg. / sundhed,Forebygg. / sundhed,,"General medical assistance 80, Referral distance 4-8 km"
"Almen lægehjælp 80, Afst.tillæg 4-8 km",1,804661,80,General practitioner,Særlig kons. vagttid,Forebygg. / sundhed,,"General Doctor Help 80, Travel Allowance 4-8 km"
"Almen lægehjælp 80, Afst.tillæg 8-12 Km",1,804203,80,General practitioner,Afst.tillæg,Forebygg. / sundhed,,"General Physician Help 80, Referral Distance 8-12 Km"
"Almen lægehjælp 80, Afst.tillæg 8-12 km",1,804662,80,General practitioner,Særlig kons. vagttid,Forebygg. / sundhed,,"General medical assistance 80, Transfer 8-12 km"
"Almen lægehjælp 80, Afstandstakst",1,803701,80,General practitioner,Afstandstillæg,Soc.Med.Sam.,+ pr,"General medical assistance 80, Distance fee"
"Almen lægehjælp 80, Afstandstakst  21 km",1,802301,80,General practitioner,Afstandstillæg,Tillægsyd & Afst.Til,For hver påbegyndt km ud over 21 til sygebesøgsstedet,"General Medical Help 80, Distance Fee 21 km"
"Almen lægehjælp 80, Afstandstakst pr. Km",2,804207,80,General practitioner,Afst.tillæg,Forebygg. / sundhed,,"General medical assistance 80, Distance fee per Km"
"Almen lægehjælp 80, Afstandstakst pr. km",1,804666,80,General practitioner,Særlig kons. vagttid,Forebygg. / sundhed,,"General ambulatory care 80, Distance charge per km"
"Almen lægehjælp 80, Aftalekons. B050",1,804117,80,General practitioner,2 aftaler,Forebygg. / sundhed,,"General medical assistance 80, Scheduled consultation B050"
"Almen lægehjælp 80, Aftalt forebygg.kons",1,800106,80,General practitioner,Konsultation,Almen Lægehjælp 80,,"General outpatient assistance 80, Scheduled preventive consultation"
"Almen lægehjælp 80, Akutte Tilfælde EF",1,802401,80,General practitioner,Ef-Borgere,Tillægsyd & Afst.Til,Anvendes når en person:,"General Medical Help 80, Acute Cases EF"
"Almen lægehjælp 80, Alkoholklinik",1,805005,80,General practitioner,Attester og tandudt.,Attester og tandudt.,,"General medical assistance 80, alcohol clinic"
"Almen lægehjælp 80, Alkoholsamt. ¤2/B080",1,804709,80,General practitioner,Særydelser,Forebygg. / sundhed,,"General Medical Help 80, Alcoholism Treatment /B080"
"Almen lægehjælp 80, Allergiud. ifm prikt",1,807402,80,General practitioner,Rammeaftaler,Lab. Undersøgelser,Allergiudredning i forbindelse med priktest,"General Medical Help 80, Allergy Testing Including Prick Test"
"Almen lægehjælp 80, Amylase",2,807303,80,General practitioner,2-aftale Kbh. Ak.,Lab. Undersøgelser,,"General medical assistance 80, Amylase"
"Almen lægehjælp 80, Andre Bety. Operat.",1,802121,80,General practitioner,Tillægsydelser,Tillægsyd & Afst.Til,Andre betydelige operationer,"General medical assistance 80, Other Significant Preoperative"
"Almen lægehjælp 80, Anlæg. Af Im.Bandage",1,802109,80,General practitioner,Tillægsydelser,Tillægsyd & Afst.Til,Anlæggelse af immobiliserende bandager,"General medical assistance 80, Application of Immobilization Bandage"
"Almen lægehjælp 80, Anoskopi",1,802136,80,General practitioner,Tillægsydelser,Tillægsyd & Afst.Til,,"General medical assistance 80, Anoscopy"
"Almen lægehjælp 80, Ans. terminal moms",1,805993,80,General practitioner,Attester og tandudt.,Attester og tandudt.,Momspligtigt attestarbejde7 ved ansøgning om tilskud til terminalpatienter,"General Medical Help 80, Responsible final VAT"
"Almen lægehjælp 80, Ansøgning - terminal",1,805093,80,General practitioner,Attester og tandudt.,Attester og tandudt.,Attestarbejde7 ved ansøgning om tilskud til terminalpatienter,"General medical help 80, Visitation - terminal"
"Almen lægehjælp 80, Anvend. af kva- tolk",1,808410,80,General practitioner,Mfr-Vaccinationer,Profylakse,Tillæg ved anvendelse af kvalificeret tolk,"General Medical Help 80, Use of Interpreters"
"Almen lægehjælp 80, Attestarb ifbm kons.",1,805091,80,General practitioner,Attester og tandudt.,Attester og tandudt.,,"General medical assistance 80, Certificate including consultation"
"Almen lægehjælp 80, Attestarb uden kons.",1,805092,80,General practitioner,Attester og tandudt.,Attester og tandudt.,,"General physician assistance 80, Certificate issue without consultation"
"Almen lægehjælp 80, Attestarb.u.kon.moms",1,805992,80,General practitioner,Attester og tandudt.,Attester og tandudt.,,"General medical assistance 80, certification without tax"
"Almen lægehjælp 80, Audiometriunders. 10",1,807112,80,General practitioner,Lab. Undersøgelser,Lab. Undersøgelser,,"General Practice Help 80, Audiometric examination 10"
"Almen lægehjælp 80, B-glukose (stix)   1",1,807159,80,General practitioner,Lab. Undersøgelser,Lab. Undersøgelser,,"General medical help 80, Blood glucose (stix) 1"
"Almen lægehjælp 80, B-glukose, fotometer",1,807136,80,General practitioner,Lab. Undersøgelser,Lab. Undersøgelser,B-glukose (fotometer),"General medical assistance 80, Blood glucose, photometric measurement"
"Almen lægehjælp 80, B-glukose, stix",1,808154,80,General practitioner,Undersøg. Af Gravide,Profylakse,,"General Medical Help 80, B-Glucose, stix"
"Almen lægehjælp 80, B-glukose,fotometer",1,808153,80,General practitioner,Undersøg. Af Gravide,Profylakse,B-glukose,"General Medical Help 80, Blood glucose, foot meter"
"Almen lægehjælp 80, B-hæmogl. (- fotom.)",1,808163,80,General practitioner,Undersøg. Af Gravide,Profylakse,,"General outpatient assistance 80, Hemoglobin B (- photo)"
"Almen lægehjælp 80, B-hæmogl.(U/fotom.)1",1,807166,80,General practitioner,Lab. Undersøgelser,Lab. Undersøgelser,,"General Medical Help 80, Beta-Hemoglobin (U/Fotometric)1"
"Almen lægehjælp 80, B-hæmoglob.(fotom.)4",1,807108,80,General practitioner,Lab. Undersøgelser,Lab. Undersøgelser,B-hæmoglobin (fotometer),"General medical assistance 80, Hemoglobin measurement (photometric) 4"
"Almen lægehjælp 80, B-hæmoglobin (fotom)",1,808164,80,General practitioner,Undersøg. Af Gravide,Profylakse,B-hæmoglobin,"General medical assistance 80, B-hemoglobin (photo)"
"Almen lægehjælp 80, Basisk Fosfatase",2,807301,80,General practitioner,2-aftale Kbh. Ak.,Lab. Undersøgelser,,"General Physician Help 80, Basic Phosphate"
"Almen lægehjælp 80, Basisyd. ¤2-aft. A65",1,804465,80,General practitioner,Forebygg. / sundhed,Forebygg. / sundhed,,"General medical help 80, Basic nursing ¤2-aft. A65"
"Almen lægehjælp 80, Basisydelse ¤2A20",1,804541,80,General practitioner,2-aftaler,Forebygg. / sundhed,,"General medical assistance 80, Basic care ¤2A20"
"Almen lægehjælp 80, Beh. 2.sikr.i sa.hj.",1,800102,80,General practitioner,Konsultation,Almen Lægehjælp 80,Behandling af 2,"General Medical Help 80, Treatment 2nd security in home help"
"Almen lægehjælp 80, Besøg 1 dags varigh.",1,804128,80,General practitioner,2 aftaler,Forebygg. / sundhed,,"General medical assistance 80, Visit 1 day duration."
"Almen lægehjælp 80, Besøg ? ags varigh.",1,804129,80,General practitioner,2 aftaler,Forebygg. / sundhed,,"General medical assistance 80, Visit ? age duration."
"Almen lægehjælp 80, Besøg I",1,800411,80,General practitioner,Besøg,Almen Lægehjælp 80,Sygebesøg op til 4 km4 + evt,"General Physician Help 80, Visit I"
"Almen lægehjælp 80, Besøg I 0-4 Km",1,808143,80,General practitioner,Undersøg. Af Gravide,Profylakse,,"General outpatient assistance 80, Visit within 0-4 km"
"Almen lægehjælp 80, Besøg II",1,800421,80,General practitioner,Besøg,Almen Lægehjælp 80,Sygebesøg fra 5 km til 8 km4 + evt,"General medical assistance 80, Visit II"
"Almen lægehjælp 80, Besøg II  4-8 Km",1,808144,80,General practitioner,Undersøg. Af Gravide,Profylakse,,"General medical assistance 80, Visit II 4-8 Km"
"Almen lægehjælp 80, Besøg III",1,800431,80,General practitioner,Besøg,Almen Lægehjælp 80,Sygebesøg fra 9 km til 12 km4 + evt,"General Medical Help 80, Visit III"
"Almen lægehjælp 80, Besøg IV",1,800441,80,General practitioner,Besøg,Almen Lægehjælp 80,Sygebesøg fra 13 km til 16 km4 + evt,"General medical aid 80, Visit IV"
"Almen lægehjælp 80, Besøg På Ruten",1,800491,80,General practitioner,Besøg,Almen Lægehjælp 80,Sygebesøg på ruten (uanset afvigelser fra ruten),"General Medical Help 80, Visit P via Route"
"Almen lægehjælp 80, Besøg V",1,800451,80,General practitioner,Besøg,Almen Lægehjælp 80,Sygebesøg fra 17 km til 20 km4 + evt,"General practitioner assistance 80, Visit V"
"Almen lægehjælp 80, Besøg VI",1,800461,80,General practitioner,Besøg,Almen Lægehjælp 80,"Sygebesøg fra 21 km4,5 fra sygebesøgsstedet + evt","General physician assistance 80, Visit VI"
"Almen lægehjælp 80, Besøg hjælpeper rute",1,804826,80,General practitioner,Forebygg. / sundhed,Forebygg. / sundhed,,"General medicine help 80, Visit home care route"
"Almen lægehjælp 80, Besøg hjælpepers I",1,804820,80,General practitioner,Forebygg. / sundhed,Forebygg. / sundhed,,"General Medical Help 80, Visit by Health Assistant I"
"Almen lægehjælp 80, Besøg hjælpepers II",1,804821,80,General practitioner,Forebygg. / sundhed,Forebygg. / sundhed,,"General medical assistance 80, Visit by helper II"
"Almen lægehjælp 80, Besøg hos ældre  A25",1,804520,80,General practitioner,2-aftaler,Forebygg. / sundhed,,"General Medical Help 80, Visit to Elderly A25"
"Almen lægehjælp 80, Besøg i vagttid R081",1,804471,80,General practitioner,Forebygg. / sundhed,Forebygg. / sundhed,,"General clinic help 80, visit during standby period R081"
"Almen lægehjælp 80, Besøg i vagttiden",1,800471,80,General practitioner,Besøg,Almen Lægehjælp 80,Besøg,"General Medical Help 80, Visit During On-Call Period"
"Almen lægehjælp 80, Bilirubin",2,807309,80,General practitioner,2-aftale Kbh. Ak.,Lab. Undersøgelser,,"General medical help 80, Bilirubin"
"Almen lægehjælp 80, Biopsi M. Mikroskopi",1,802113,80,General practitioner,Tillægsydelser,Tillægsyd & Afst.Til,Biopsi med efterfølgende mikroskopisk us,"General Medical Help 80, Biopsy Muscle Microscopy"
"Almen lægehjælp 80, Blodpr.1.graviditets",1,808180,80,General practitioner,Undersøg. Af Gravide,Profylakse,,"General Practice 80, Blood Pressure Measurement During Pregnancy"
"Almen lægehjælp 80, Blodpr.2.graviditets",1,808181,80,General practitioner,Undersøg. Af Gravide,Profylakse,,"General Medical Help 80, Blood Pressure Measurement 2.gravidity"
"Almen lægehjælp 80, Blodpr.glucoseb.a.65",1,804611,80,General practitioner,Særlig kons. vagttid,Forebygg. / sundhed,,"General practitioner assistance 80, Blood pressure and glucose measurement including 65"
"Almen lægehjælp 80, Blodprøve ¤2A20",1,804544,80,General practitioner,2-aftaler,Forebygg. / sundhed,,"General medical assistance 80, Blood test ¤2A20"
"Almen lægehjælp 80, Blodprøve, cen. m.v",1,807230,80,General practitioner,2-aftale Kbh. Ak,Lab. Undersøgelser,,"General medical assistance 80, Blood test, central etc"
"Almen lægehjælp 80, Blodprøve, cen. m.v.",1,807330,80,General practitioner,2-aftale Kbh. Ak.,Lab. Undersøgelser,,"General Medical Help 80, Blood Sample, centrifugation etc."
"Almen lægehjælp 80, Blodprøvetagn. amt50",1,804517,80,General practitioner,2-aftaler,Forebygg. / sundhed,,"General Medical Help 80, Blood Sample Collection (via 50)"
"Almen lægehjælp 80, Blodprøvetagning",5,802601,80,General practitioner,Rammeaftaler,Tillægsyd & Afst.Til,Blodprøvetagning fra åre inkl. præp. og centrifugering pr. forsendelse,"General medical assistance 80, Blood sampling"
"Almen lægehjælp 80, Blodtagning blodåre",1,802101,80,General practitioner,Tillægsydelser,Tillægsyd & Afst.Til,Blodtagning fra blodåre pr,"General medical assistance 80, Blood drawing blood vessel"
"Almen lægehjælp 80, Blærekaterisation",1,802104,80,General practitioner,Tillægsydelser,Tillægsyd & Afst.Til,Blærekaterisation (ekskl,"General medical assistance 80, Bladder catheterization"
"Almen lægehjælp 80, Blødningstid       1",1,807154,80,General practitioner,Lab. Undersøgelser,Lab. Undersøgelser,,"General outpatient care 80, Bleeding time       1"
"Almen lægehjælp 80, Børneunders. Test",1,804601,80,General practitioner,Særlig kons. vagttid,Forebygg. / sundhed,,"General Medical Help 80, Child Examination Test"
"Almen lægehjælp 80, C-Reaktivt Protein",1,807120,80,General practitioner,Lab. Undersøgelser,Lab. Undersøgelser,C-reaktivt protein (CRP),"General medical help 80, C-Reactive Protein"
"Almen lægehjælp 80, CRP ¤2 Amt14",1,807263,80,General practitioner,2-aftale Kbh. Ak,Lab. Undersøgelser,,"General Medical Help 80, CRP Test 2 Amt14"
"Almen lægehjælp 80, Cholesterol",2,807312,80,General practitioner,2-aftale Kbh. Ak.,Lab. Undersøgelser,,"General medical help 80, Cholesterol"
"Almen lægehjælp 80, Dagt. egen læge KBH.",1,804111,80,General practitioner,2 aftaler,Forebygg. / sundhed,,"General medical assistance 80, Daily own doctor Copenhagen."
"Almen lægehjælp 80, Dagt.anden læge KBH.",1,804112,80,General practitioner,2 aftaler,Forebygg. / sundhed,,"General medical assistance 80, Daytime.second doctor Copenhagen."
"Almen lægehjælp 80, Deltagelse i forsøg",1,804005,80,General practitioner,Forebygg. / sundhed,Forebygg. / sundhed,,"General practitioner assistance 80, Participation in trial."
"Almen lægehjælp 80, Demens A50",1,804049,80,General practitioner,Forebygg. / sundhed,Forebygg. / sundhed,,"General medical assistance 80, Dementia A50"
"Almen lægehjælp 80, Demensudred. ¤2 A65",1,804467,80,General practitioner,Forebygg. / sundhed,Forebygg. / sundhed,,"General practitioner help 80, Dementia assessment ¤2 A65"
"Almen lægehjælp 80, Demensudredning B080",1,804135,80,General practitioner,2 aftaler,Forebygg. / sundhed,,"General Medical Help 80, Dementia Assessment B080"
"Almen lægehjælp 80, Demensunder. Kbh Kom",1,804547,80,General practitioner,2-aftaler,Forebygg. / sundhed,,"General medical assistance 80, Dementia care Copenhagen Comm"
"Almen lægehjælp 80, Demensundersøge. A20",1,804546,80,General practitioner,2-aftaler,Forebygg. / sundhed,,"General Medical Help 80, Dementia Assessment A20"
"Almen lægehjælp 80, Di-Te-Ki-Pol-Hib.12m",1,808343,80,General practitioner,Børnevaccinationer,Profylakse,,"General Medical Help 80, Diphtheria-Tetanus-Ki(Polio)-Hib.12m"
"Almen lægehjælp 80, Di-Te-Ki-Pol-Hib.5md",1,808342,80,General practitioner,Børnevaccinationer,Profylakse,,"General Medical Help 80, Diphtheria-Tetanus-Ki(Polio)-Hib.5md"
"Almen lægehjælp 80, Di-Te-Ki-Pol-hib.3md",1,808341,80,General practitioner,Børnevaccinationer,Profylakse,"Di-Te-Ki-Pol-Hib-vaccination (vaccination gives 3 gange, som udg","General Medical Help 80, Diarrhea-Temperature-Kidney-Poliomyelitis-Hepatitis.3md"
"Almen lægehjælp 80, Di-Te-ki.vaccination",1,808324,80,General practitioner,Børnevaccinationer,Profylakse,,"General medical help 80, Di-Te-ki vaccination"
"Almen lægehjælp 80, Di-te-ki-pol vacc.",1,808325,80,General practitioner,Børnevaccinationer,Profylakse,"Di-Te-Ki-Pol-revaccination (vaccination gives 1 gange, som udg","General medical help 80, Diphtheria-tetanus-killed-polio vaccine"
"Almen lægehjælp 80, Differ.- og leu. tæl",1,807125,80,General practitioner,Lab. Undersøgelser,Lab. Undersøgelser,,"General medical assistance 80, Differential and leukocyte count"
"Almen lægehjælp 80, Differentialtælling6",1,807184,80,General practitioner,Lab. Undersøgelser,Lab. Undersøgelser,,"General Practice Assistance 80, Differential Counting6"
"Almen lægehjælp 80, Dyrk.Af Bakterier  3",1,807179,80,General practitioner,Lab. Undersøgelser,Lab. Undersøgelser,,"General Medical Help 80, Culture Of Bacteria 3"
"Almen lægehjælp 80, E-mail kons sende sv",1,804140,80,General practitioner,2 aftaler,Forebygg. / sundhed,,"General Medical Help 80, Email Consultation Response Sent"
"Almen lægehjælp 80, E-mail kons. besvar",1,804142,80,General practitioner,2 aftaler,Forebygg. / sundhed,,"General medical help 80, Email consultation response"
"Almen lægehjælp 80, E-mail konsultation",1,800105,80,General practitioner,Konsultation,Almen Lægehjælp 80,E-konsultation,"General medical assistance 80, Email consultation"
