# id	da_full	en	confidence	residual
3725	Almen lægehjælp 80, Vaccination til kvinder mod røde hunde (vaccine gives 1 gang)	General practitioner, Vaccination to kvinder mod red hunde (vaccine gives 1 gang)	high	
3726	Almen lægehjælp 80, Vaccinat.  2-10 år	General practitioner, Vaccinat. 2-10 years	low	Y
3727	Almen lægehjælp 80, Vaccinat. 11-12 år	General practitioner, Vaccinat. 11-12 years	low	Y
3728	Almen lægehjælp 80, Vaccinat. Inden 2 år	General practitioner, Vaccinat. inden 2 years	low	Y
3729	Almen lægehjælp 80, Vachon hepB ej undersøgelse/ko	General practitioner, Vachon hepb ej examination/ko	high	
3730	Almen lægehjælp 80, Vandrejournal ¤2-af.	General practitioner, Vandrejournal ¤2-of.	high	
3731	Almen lægehjælp 80, Vejledning i svangerskabsforebyggende metoder ved første henvendelse fra patienten eller ved	General practitioner, Guidance in contraceptive methods by first henvendelse from patienten or by	low	Y
3732	Almen lægehjælp 80, vejledning af svangre 2141	General practitioner, Guidance of pregnant women 2141	high	
3733	Almen lægehjælp 80, Vejledning og undersøgelse i forbindelse med anmodning om svangerskabsafbrydelse og/eller	General practitioner, Guidance and examination in forbindelse with anmodning om svangerskabsafbrydelse and/or	low	Y
3734	Almen lægehjælp 80, Vejledning i benyttelse af svangerskabsforebyggende metoder ved indlæggelse af spiral eller	General practitioner, Guidance in use of contraceptive methods by admission of coil (IUD) or	high	
3735	Almen lægehjælp 80, vejledning af svangre 2140	General practitioner, Guidance of pregnant women 2140	high	
3736	Almen lægehjælp 80, Vejledning om svangerskabsforebyggende metoder ved indlæggelse af spiral*	General practitioner, Guidance om contraceptive methods by admission of coil (IUD)*	low	Y
3737	Almen lægehjælp 80, Vejledning om svangerskabsforebyggende metoder herunder evt	General practitioner, Guidance om contraceptive methods herunder evt	low	Y
3738	Almen lægehjælp 80, Venesektio tilrådet af hospital eller speciallæge samt ved livstruende tilstande	General practitioner, Venesektio tilrådet of hospital or speciallæge and by livstruende tilstande	low	Y
3739	Almen lægehjælp 80, Zoneterapi	General practitioner, Zoneterapi	high	
3740	Almen lægehjælp 80, afstandstakst og 10km	General practitioner, Afstandstakst and 10km	high	
3741	Almen lægehjælp 80, aft. diab.kontrol	General practitioner, Aft. diab.follow-up	low	Y
3742	Almen lægehjælp 80, assistance	General practitioner, Assistance	high	
3743	Almen lægehjælp 80, attestarb konsultation moms	General practitioner, Attestarb consultation moms	high	
3744	Almen lægehjælp 80, b-hæmoglobin	General practitioner, B-haemoglobin	high	
3745	Almen lægehjælp 80, besøg a42	General practitioner, Visit a42	high	
3746	Almen lægehjælp 80, besøg i hjemmet	General practitioner, Visit in hjemmet	high	
3747	Almen lægehjælp 80, blodpr med cent ad a65	General practitioner, Blodpr with cent ad a65	high	
3748	Almen lægehjælp 80, diagnostisk hjælp psyk.dia	General practitioner, Diagnostic hjælp psyk.dia	low	Y
3749	Almen lægehjælp 80, e-komm. ved forløbsydelse diabetes	General practitioner, E-komm. by forløbsydelse diabetes	low	Y
3750	Almen lægehjælp 80, fj. ørevoks	General practitioner, Removal. earwax	low	Y
3751	Almen lægehjælp 80, forebygg konsultation	General practitioner, Forebygg consultation	high	
3752	Almen lægehjælp 80, frems.digitale foto	General practitioner, Frems.digitale foto	high	
3753	Almen lægehjælp 80, fødselshjælp	General practitioner, Fødselshjælp	low	Y
3754	Almen lægehjælp 80, hapatitis vacc i daginst.	General practitioner, Hapatitis vacc in daginst.	low	Y
3755	Almen lægehjælp 80, kB-glucose	General practitioner, Kb-glucose	high	
3756	Almen lægehjælp 80, konf. allegispl. A50	General practitioner, Konf. allegispl. a50	low	Y
3757	Almen lægehjælp 80, konsultation ¤2A20	General practitioner, Consultation ¤2a20	high	
3758	Almen lægehjælp 80, konsultation a42	General practitioner, Consultation a42	high	
3759	Almen lægehjælp 80, lg konsultation add a65	General practitioner, Lg consultation add a65	high	
3760	Almen lægehjælp 80, livm.h.kræft skr 082	General practitioner, Livm.h.cancer skr 082	high	
3761	Almen lægehjælp 80, ltype 7	General practitioner, Ltype 7	high	
3762	Almen lægehjælp 80, medicinforbrug_amt76	General practitioner, Medicinforbrug_amt76	high	
3763	Almen lægehjælp 80, møde 1 modul ¤2A35	General practitioner, Meeting 1 modul ¤2a35	high	
3764	Almen lægehjælp 80, nattevagtslæger afst	General practitioner, Nattevagtslæger afst	low	Y
3765	Almen lægehjælp 80, opf.demens	General practitioner, Opf.demens	high	
3766	Almen lægehjælp 80, pnoumokok vacc. 12 mdr	General practitioner, Pnoumokok vacc. 12 mdr	low	Y
3767	Almen lægehjælp 80, Pneumokokvaccination (vaccination gives 3 gange, som udg	General practitioner, Pneumokokvaccination (vaccination gives 3 gange, som udg	high	
3768	Almen lægehjælp 80, pnoumokok vacc. 5 mdr	General practitioner, Pnoumokok vacc. 5 mdr	low	Y
3769	Almen lægehjælp 80, Diagnostik, udredning og opfølgning ved anvendelse af fagligt anerkendte psykometriske test6	General practitioner, Diagnostik, udredning and follow-up by anvendelse of fagligt anerkendte psykometriske test6	low	Y
3770	Almen lægehjælp 80, psykometrisk test	General practitioner, Psykometrisk test	low	Y
3771	Almen lægehjælp 80, rectoscopi	General practitioner, Rectoscopi	high	
3772	Almen lægehjælp 80, tel. drøftelse A50	General practitioner, Tel. drøftelse a50	low	Y
3773	Almen lægehjælp 80, telefonkons. ved forløbsydelse diabetes	General practitioner, Telefonkons. by forløbsydelse diabetes	low	Y
3774	Almen lægehjælp 80, test II-diabetes a35	General practitioner, Test ii-diabetes a35	high	
3775	Almen lægehjælp 80, test svangerdiab.a35	General practitioner, Test svangerdiab.a35	high	
3776	Almen lægehjælp 80, tillæg til pnoumokok vacc	General practitioner, Supplement to pnoumokok vacc	high	
3777	Almen lægehjælp 80, tillæg yd 1 konsultation a50	General practitioner, Supplement yd 1 consultation a50	high	
3778	Almen lægehjælp 80, telefon konsultation med besøg a42	General practitioner, Telephone consultation with visit a42	high	
3779	Almen lægehjælp 80, telefon konsultation uden besøg a42	General practitioner, Telephone consultation without visit a42	high	
3780	Almen lægehjælp 80, udskrivningskonf.a60	General practitioner, Udskrivningskonf.a60	high	
3781	Almen lægehjælp 80, ukendt	General practitioner, Ukendt	high	
3782	Almen lægehjælp 80, vagtbr. B-vagt a42	General practitioner, Vagtbr. b-vagt a42	low	Y
3783	Almen lægehjælp 80, vortebeh	General practitioner, Vortebeh	high	
3784	Almen lægehjælp 80, ¤2-B035 Kilometer	General practitioner, ¤2-b035 kilometer	high	
3785	Almen lægehjælp 80, ¤2-aftale 4405	General practitioner, ¤2-aftale 4405	high	
3786	Almen lægehjælp 80, ¤2-aftale ak. 50	General practitioner, ¤2-aftale ak. 50	low	Y
3787	Almen lægehjælp 80, ¤2.A35Afstandstillæg	General practitioner, ¤2.a35afstandstillæg	low	Y
3788	Almen lægehjælp 80, ¤2A35Kons.h./besøg	General practitioner, ¤2a35kons.h./visit	high	
3789	Almen lægehjælp 80, ®ldreproj. Skanderb.	General practitioner, ®ldreproj. skanderb.	low	Y
3790	Almen lægehjælp 80, årskontr.diabetes	General practitioner, Årskontr.diabetes	low	Y
3791	Almen lægehjælp 80, årskontrol amt 50	General practitioner, Årskontrol amt 50	low	Y
3792	Almen lægehjælp 80, årskontrol,diab. a20	General practitioner, Årskontrol,diab. a20	low	Y
3793	KFA-vagtordning 81, (ingen tekst tilgængelig)	KFA on-call service 81, (no text available)	high	
3794	KFA-vagtordning 81, 1. behandling Knoglebrud	KFA on-call service 81, 1. treatment knoglebrud	high	
3795	KFA-vagtordning 81, 1. behandling Større Sår	KFA on-call service 81, 1. treatment larger wound	high	
3796	KFA-vagtordning 81, Akutte Tilfælde Ef	KFA on-call service 81, Akutte case ef	low	Y
3797	KFA-vagtordning 81, Anlæg. af Im.Bandage	KFA on-call service 81, Placement. of im.bandage	low	Y
3798	KFA-vagtordning 81, B-hæmoglob.(fotom.)4	KFA on-call service 81, B-haemoglobin (photometric)4	high	
3799	KFA-vagtordning 81, behandling 2 sikring i samme hjem	KFA on-call service 81, Treatment 2 assurance in same home	high	
3800	KFA-vagtordning 81, Besøg	KFA on-call service 81, Visit	high	
3801	KFA-vagtordning 81, Blærekaterisation	KFA on-call service 81, Bladder catheterisation	high	
3802	KFA-vagtordning 81, Brud af Skinneben Mv	KFA on-call service 81, Brud of skinneben etc.	low	Y
3803	KFA-vagtordning 81, Elkard. exc. præc. 6	KFA on-call service 81, Elkard. excision. præc. 6	low	Y
3804	KFA-vagtordning 81, fjernelse af Svulster	KFA on-call service 81, Removal of svulster	high	
3805	KFA-vagtordning 81, Fjernelse af ørevoks	KFA on-call service 81, Removal of earwax	high	
3806	KFA-vagtordning 81, Flere v. inst. besøg	KFA on-call service 81, Flere v. inst. visit	low	Y
3807	KFA-vagtordning 81, Fremmedlegeme Hud Mv	KFA on-call service 81, Fremmedlegeme hud etc.	low	Y
3808	KFA-vagtordning 81, Fremmedlegeme øj. Mv	KFA on-call service 81, Fremmedlegeme øj. etc.	low	Y
3809	KFA-vagtordning 81, Konsultation	KFA on-call service 81, Consultation	high	
3810	KFA-vagtordning 81, Kørselsgodtgør.    i	KFA on-call service 81, Mileage allowance. in	low	Y
3811	KFA-vagtordning 81, Ligsyn med Dødsattest	KFA on-call service 81, Death inspection with death certificate	high	
3812	KFA-vagtordning 81, Ligsyn udf.dødsa.s.1	KFA on-call service 81, Death inspection issuing death certificate	high	
3813	KFA-vagtordning 81, Lægehjælp      2502	KFA on-call service 81, Medical care 2502	high	
3814	KFA-vagtordning 81, Operation/betændelse	KFA on-call service 81, Operation/inflammation	high	
3815	KFA-vagtordning 81, Oplivningsforsøg	KFA on-call service 81, Resuscitation attempt	high	
3816	KFA-vagtordning 81, sikring uden adgang til lægepraksis	KFA on-call service 81, Assurance without access to medical practice	high	
3817	KFA-vagtordning 81, Sindslid. 1. Indlæg	KFA on-call service 81, Sindslid. 1. orthotic insole	low	Y
3818	KFA-vagtordning 81, Sindslid. Genindlæg	KFA on-call service 81, Sindslid. readmission	low	Y
3819	KFA-vagtordning 81, Svælg-strept.antig.4	KFA on-call service 81, Throat streptococcus antigen4	high	
3820	KFA-vagtordning 81, Tapning af Væske	KFA on-call service 81, Tapning of fluid	low	Y
3821	KFA-vagtordning 81, Telf konsultation med  besøg	KFA on-call service 81, Telf consultation with visit	high	
3822	KFA-vagtordning 81, Telf konsultation uden besøg	KFA on-call service 81, Telf consultation without visit	high	
3823	KFA-vagtordning 81, Udstedelse dødsa.s.2	KFA on-call service 81, Udstedelse dødsa.s.2	low	Y
3824	KFA-vagtordning 81, Urin Blod Mv V.Stix1	KFA on-call service 81, Urine blood etc. v.stix1	low	Y
3825	KFA-vagtordning 81, vejledning af svangre 2142	KFA on-call service 81, Guidance of pregnant women 2142	high	
3826	KFA-vagtordning 81, lægehj. ingen praks.	KFA on-call service 81, Lægehj. ingen praks.	low	Y
3827	Kak vagtlægehjælp 82, 1. behandling Knoglebrud	KAK on-call GP 82, 1. treatment knoglebrud	high	
3828	Kak vagtlægehjælp 82, 1. behandling Større Sår	KAK on-call GP 82, 1. treatment larger wound	high	
3829	Kak vagtlægehjælp 82, 1. behandling brud	KAK on-call GP 82, 1. treatment brud	high	
3830	Kak vagtlægehjælp 82, Afst.takst ov. 10 km	KAK on-call GP 82, Afst.takst ov. 10 km	low	Y
3831	Kak vagtlægehjælp 82, Akutte Tilfælde Ef	KAK on-call GP 82, Akutte case ef	low	Y
3832	Kak vagtlægehjælp 82, Andre Bety. operation	KAK on-call GP 82, Andre bety. operation	low	Y
3833	Kak vagtlægehjælp 82, Anlæg. af Im.Bandage	KAK on-call GP 82, Placement. of im.bandage	low	Y
3834	Kak vagtlægehjælp 82, B-glukose (fotom.) 4	KAK on-call GP 82, B-glukose (fotom.) 4	low	Y
3835	Kak vagtlægehjælp 82, B-hæmoglob.(fotom.)4	KAK on-call GP 82, B-haemoglobin (photometric)4	high	
3836	Kak vagtlægehjælp 82, behandling 2 sikring i samme hjem	KAK on-call GP 82, Treatment 2 assurance in same home	high	
3837	Kak vagtlægehjælp 82, Besøg   0481	KAK on-call GP 82, Visit 0481	high	
3838	Kak vagtlægehjælp 82, Besøg i vagttiden	KAK on-call GP 82, Visit in vagttiden	high	
3839	Kak vagtlægehjælp 82, Blærekaterisation	KAK on-call GP 82, Bladder catheterisation	high	
3840	Kak vagtlægehjælp 82, C-Reaktivt Protein	KAK on-call GP 82, C-reaktivt protein	high	
3841	Kak vagtlægehjælp 82, Elkard. exc. præc. 6	KAK on-call GP 82, Elkard. excision. præc. 6	low	Y
3842	Kak vagtlægehjælp 82, Elkard. inkl. præc.9	KAK on-call GP 82, Elkard. incl.. præc.9	low	Y
3843	Kak vagtlægehjælp 82, Fjernelse af Negl	KAK on-call GP 82, Removal of negl	high	
3844	Kak vagtlægehjælp 82, Fjernelse af ørevoks	KAK on-call GP 82, Removal of earwax	high	
3845	Kak vagtlægehjælp 82, Fl sikring V Inst Besøg	KAK on-call GP 82, Fl assurance v inst visit	high	
3846	Kak vagtlægehjælp 82, Fortsat Kontrol 2141	KAK on-call GP 82, Fortsat follow-up 2141	high	
3847	Kak vagtlægehjælp 82, Fremmedlegeme Hud Mv	KAK on-call GP 82, Fremmedlegeme hud etc.	low	Y
3848	Kak vagtlægehjælp 82, Fremmedlegeme øj. Mv	KAK on-call GP 82, Fremmedlegeme øj. etc.	low	Y
3849	Kak vagtlægehjælp 82, forsendelse biopsi materiale eksklusive blod	KAK on-call GP 82, Shipment biopsy material excluding blood	high	
3850	Kak vagtlægehjælp 82, i Bakterier(dyrk.)3	KAK on-call GP 82, In bakterier(dyrk.)3	low	Y
3851	Kak vagtlægehjælp 82, Konsultation	KAK on-call GP 82, Consultation	high	
3852	Kak vagtlægehjælp 82, Kørselsgodtgør.  i	KAK on-call GP 82, Mileage allowance. in	low	Y
3853	Kak vagtlægehjælp 82, Ligsyn med Dødsattest	KAK on-call GP 82, Death inspection with death certificate	high	
3854	Kak vagtlægehjælp 82, Ligsyn udf.dødsa.s.1	KAK on-call GP 82, Death inspection issuing death certificate	high	
3855	Kak vagtlægehjælp 82, Lungef. v. spirom. 3	KAK on-call GP 82, Lungef. v. spirom. 3	low	Y
3856	Kak vagtlægehjælp 82, Lungefunkt.unders. 3	KAK on-call GP 82, Lungefunkt.unders. 3	high	
3857	Kak vagtlægehjælp 82, Lægehjælp       2502	KAK on-call GP 82, Medical care 2502	high	
3858	Kak vagtlægehjælp 82, Operation/betændelse	KAK on-call GP 82, Operation/inflammation	high	
3859	Kak vagtlægehjælp 82, Oplivningsforsøg	KAK on-call GP 82, Resuscitation attempt	high	
3860	Kak vagtlægehjælp 82, Paracent.- Trommehnd	KAK on-call GP 82, Paracent.- trommehnd	high	
3861	Kak vagtlægehjælp 82, Repos. Store led	KAK on-call GP 82, Repos. store joint	low	Y
3862	Kak vagtlægehjælp 82, sikring uden adgang til lægepraksis	KAK on-call GP 82, Assurance without access to medical practice	high	
3863	Kak vagtlægehjælp 82, Sindslid. 1. Indlæg.	KAK on-call GP 82, Sindslid. 1. orthotic insole.	low	Y
3864	Kak vagtlægehjælp 82, Sindslid. Genindlæg.	KAK on-call GP 82, Sindslid. readmission.	low	Y
3865	Kak vagtlægehjælp 82, Sindslid. Tvangsindl	KAK on-call GP 82, Sindslid. tvangsindl	low	Y
3866	Kak vagtlægehjælp 82, svangre reak,urinc. 4	KAK on-call GP 82, Pregnant women reak,urinc. 4	low	Y
3867	Kak vagtlægehjælp 82, Svælg-strept.antig.4	KAK on-call GP 82, Throat streptococcus antigen4	high	
3868	Kak vagtlægehjælp 82, Tapning af Væske	KAK on-call GP 82, Tapning of fluid	low	Y
3869	Kak vagtlægehjælp 82, Tillæg ingen praksis	KAK on-call GP 82, Supplement ingen praksis	low	Y
3870	Kak vagtlægehjælp 82, Tillæg kval. tolk	KAK on-call GP 82, Supplement kval. interpreter	low	Y
3871	Kak vagtlægehjælp 82, telefon konsultation	KAK on-call GP 82, Telephone consultation	high	
3872	Kak vagtlægehjælp 82, telefon konsultation med besøg/kon.	KAK on-call GP 82, Telephone consultation with visit/kon.	low	Y
3873	Kak vagtlægehjælp 82, telefon konsultation uden besøg/kon.	KAK on-call GP 82, Telephone consultation without visit/kon.	low	Y
3874	Kak vagtlægehjælp 82, Tlfkons. med Recept	KAK on-call GP 82, Tlfkons. with recept	low	Y
3875	Kak vagtlægehjælp 82, Tympanometri	KAK on-call GP 82, Tympanometry	high	
3876	Kak vagtlægehjælp 82, Ud. pacemaker	KAK on-call GP 82, Ud. pacemaker	low	Y
3877	Kak vagtlægehjælp 82, Urin Blod Mv V.Stix1	KAK on-call GP 82, Urine blood etc. v.stix1	low	Y
3878	Kak vagtlægehjælp 82, Urin v. stix       1	KAK on-call GP 82, Urine v. stix 1	high	
3879	Kak vagtlægehjælp 82, vejledning af svangre 2142	KAK on-call GP 82, Guidance of pregnant women 2142	high	
3880	Kak vagtlægehjælp 82, fj. af svulster	KAK on-call GP 82, Removal. of svulster	low	Y
3881	Vagtlægehjælp 83, (ingen tekst tilgængelig)	On-call GP service 83, (no text available)	high	
3882	Vagtlægehjælp 83, (procedure not documented)	On-call GP service 83, (procedure not documented)	low	
3883	Vagtlægehjælp 83, 1. behandling Knoglebrud	On-call GP service 83, 1. treatment knoglebrud	high	
3884	Vagtlægehjælp 83, 1. behandling Større Sår	On-call GP service 83, 1. treatment larger wound	high	
3885	Vagtlægehjælp 83, 1. behandling Brud sk.ben	On-call GP service 83, 1. treatment brud sk.ben	high	
3886	Vagtlægehjælp 83, 2.Undersøgelse	On-call GP service 83, 2.examination	high	
3887	Vagtlægehjælp 83, 3.Undersøgelse	On-call GP service 83, 3.examination	high	
3888	Vagtlægehjælp 83, 4.Undersøgelse	On-call GP service 83, 4.examination	high	
3889	Vagtlægehjælp 83, 5.Undersøgelse	On-call GP service 83, 5.examination	high	
3890	Vagtlægehjælp 83, 7.Undersøgelse	On-call GP service 83, 7.examination	high	
3891	Vagtlægehjælp 83, Afst.takst ov. 10 km	On-call GP service 83, Afst.takst ov. 10 km	low	Y
3892	Vagtlægehjælp 83, Afstandstakst  21 km	On-call GP service 83, Afstandstakst 21 km	high	
3893	Vagtlægehjælp 83, Akutte Tilfælde EF	On-call GP service 83, Akutte case ef	low	Y
3894	Vagtlægehjælp 83, Alkoholklinik	On-call GP service 83, Alkoholklinik	high	
3895	Vagtlægehjælp 83, Andre Bety. operation	On-call GP service 83, Andre bety. operation	low	Y
3896	Vagtlægehjælp 83, Anlæg. af Im.Bandage	On-call GP service 83, Placement. of im.bandage	low	Y
3897	Vagtlægehjælp 83, Anoskopi	On-call GP service 83, Anoskopi	high	
3898	Vagtlægehjælp 83, B-glukose (fotom.) 4	On-call GP service 83, B-glukose (fotom.) 4	low	Y
3899	Vagtlægehjælp 83, B-glukose (stix)   1	On-call GP service 83, B-glukose (stix) 1	high	
3900	Vagtlægehjælp 83, B-hæmoglob.(fotom.)4	On-call GP service 83, B-haemoglobin (photometric)4	high	
3901	Vagtlægehjælp 83, behandling 2 sikring i samme hjem	On-call GP service 83, Treatment 2 assurance in same home	high	
3902	Vagtlægehjælp 83, Besøg	On-call GP service 83, Visit	high	
3903	Vagtlægehjælp 83, Besøg i	On-call GP service 83, Visit in	high	
3904	Vagtlægehjælp 83, Besøg II	On-call GP service 83, Visit ii	high	
3905	Vagtlægehjælp 83, Besøg III	On-call GP service 83, Visit iii	high	
3906	Vagtlægehjælp 83, Besøg IV	On-call GP service 83, Visit iv	low	Y
3907	Vagtlægehjælp 83, Besøg På Ruten	On-call GP service 83, Visit on ruten	high	
3908	Vagtlægehjælp 83, Besøg V	On-call GP service 83, Visit v	high	
3909	Vagtlægehjælp 83, Besøg VI	On-call GP service 83, Visit vi	high	
3910	Vagtlægehjælp 83, Besøg i vagttid R081	On-call GP service 83, Visit in vagttid r081	high	
3911	Vagtlægehjælp 83, Blodtagning blodåre	On-call GP service 83, Blodtagning blood vessel	low	Y
3912	Vagtlægehjælp 83, Blærekaterisation	On-call GP service 83, Bladder catheterisation	high	
3913	Vagtlægehjælp 83, Elkard. exc. præc. 6	On-call GP service 83, Elkard. excision. præc. 6	low	Y
3914	Vagtlægehjælp 83, Elkard. inkl. præc.9	On-call GP service 83, Elkard. incl.. præc.9	low	Y
3915	Vagtlægehjælp 83, Fj. af svulster	On-call GP service 83, Removal. of svulster	low	Y
3916	Vagtlægehjælp 83, Fjernelse af Negl	On-call GP service 83, Removal of negl	high	
3917	Vagtlægehjælp 83, Fl sikring V Inst Besøg	On-call GP service 83, Fl assurance v inst visit	high	
3918	Vagtlægehjælp 83, Fremmedleg. Hud/negl	On-call GP service 83, Fremmedleg. hud/negl	low	Y
3919	Vagtlægehjælp 83, Fremmedlegeme øj. Mv	On-call GP service 83, Fremmedlegeme øj. etc.	low	Y
3920	Vagtlægehjælp 83, Fremmødehonorar B080	On-call GP service 83, Fremmødehonorar b080	low	Y
3921	Vagtlægehjælp 83, forsendelse biopsi materiale eksklusive blokade	On-call GP service 83, Shipment biopsy material excluding block	high	
3922	Vagtlægehjælp 83, Hon.v.vagtord.på øer	On-call GP service 83, Hon.v.vagtord.on øer	low	Y
3923	Vagtlægehjælp 83, i Bakterier(dyrk.)3	On-call GP service 83, In bakterier(dyrk.)3	low	Y
3924	Vagtlægehjælp 83, i Urin (mikros.)  3	On-call GP service 83, In urine (mikros.) 3	low	Y
3925	Vagtlægehjælp 83, III. Andet (dyrk.) 3	On-call GP service 83, Iii. andet (dyrk.) 3	low	Y
3926	Vagtlægehjælp 83, Ins/udl væ/valadn sk	On-call GP service 83, Ins/udl væ/valadn sk	low	Y
3927	Vagtlægehjælp 83, Konsultation	On-call GP service 83, Consultation	high	
3928	Vagtlægehjælp 83, Kørselsgodtgør.  i	On-call GP service 83, Mileage allowance. in	low	Y
3929	Vagtlægehjælp 83, Kørselsgodtgør. II	On-call GP service 83, Mileage allowance. ii	low	Y
3930	Vagtlægehjælp 83, Ligsyn med Dødsattest	On-call GP service 83, Death inspection with death certificate	high	
3931	Vagtlægehjælp 83, Ligsyn udf.dødsa.s.1	On-call GP service 83, Death inspection issuing death certificate	high	
3932	Vagtlægehjælp 83, Lungefunkt.unders. 3	On-call GP service 83, Lungefunkt.unders. 3	high	
3933	Vagtlægehjælp 83, Lægehjælp      2502	On-call GP service 83, Medical care 2502	high	
3934	Vagtlægehjælp 83, Nervesanatorier mv	On-call GP service 83, Nervesanatorier etc.	low	Y
3935	Vagtlægehjælp 83, Næsetamponade mv	On-call GP service 83, Nasal packing etc.	low	Y
3936	Vagtlægehjælp 83, Operation/betændelse	On-call GP service 83, Operation/inflammation	high	
3937	Vagtlægehjælp 83, Oplivningsforsøg	On-call GP service 83, Resuscitation attempt	high	
3938	Vagtlægehjælp 83, Paracent.-Trommehnd	On-call GP service 83, Paracent.-trommehnd	high	
3939	Vagtlægehjælp 83, Receptfornyelse	On-call GP service 83, Receptfornyelse	low	Y
3940	Vagtlægehjælp 83, Repos. Store led	On-call GP service 83, Repos. store joint	low	Y
3941	Vagtlægehjælp 83, sikring uden adgang til lægepraksis	On-call GP service 83, Assurance without access to medical practice	high	
3942	Vagtlægehjælp 83, Sindslid. 1. Indlæg.	On-call GP service 83, Sindslid. 1. orthotic insole.	low	Y
3943	Vagtlægehjælp 83, Sindslid. Genindlæg.	On-call GP service 83, Sindslid. readmission.	low	Y
3944	Vagtlægehjælp 83, Sindslid. Tvangsindl	On-call GP service 83, Sindslid. tvangsindl	low	Y
3945	Vagtlægehjælp 83, St. Udbr. Læsioner	On-call GP service 83, St. udbr. lesions	low	Y
3946	Vagtlægehjælp 83, svangre reak, urinc.4	On-call GP service 83, Pregnant women reak, urinc.4	high	
3947	Vagtlægehjælp 83, Svælg-strept.antig.4	On-call GP service 83, Throat streptococcus antigen4	high	
3948	Vagtlægehjælp 83, Særlig konsultation vagttid	On-call GP service 83, Special consultation vagttid	high	
3949	Vagtlægehjælp 83, Særlig konsultation vagt a42	On-call GP service 83, Special consultation vagt a42	high	
3950	Vagtlægehjælp 83, Tapning af væske	On-call GP service 83, Tapning of fluid	low	Y
3951	Vagtlægehjælp 83, Telf konsultation med  besøg	On-call GP service 83, Telf consultation with visit	high	
3952	Vagtlægehjælp 83, Telf konsultation uden besøg	On-call GP service 83, Telf consultation without visit	high	
3953	Vagtlægehjælp 83, Tillæg kval. tolk	On-call GP service 83, Supplement kval. interpreter	low	Y
3954	Vagtlægehjælp 83, telefon konsultation	On-call GP service 83, Telephone consultation	high	
3955	Vagtlægehjælp 83, Tlfkons. med Recept	On-call GP service 83, Tlfkons. with recept	low	Y
3956	Vagtlægehjælp 83, Tympanometri	On-call GP service 83, Tympanometry	high	
3957	Vagtlægehjælp 83, Ud. pacemaker	On-call GP service 83, Ud. pacemaker	low	Y
3958	Vagtlægehjælp 83, Udfyld. af dødsa.s.2	On-call GP service 83, Udfyld. of dødsa.s.2	low	Y
3959	Vagtlægehjælp 83, Udlån/instr.blodtryk	On-call GP service 83, Loan/instr.blodtryk	high	
3960	Vagtlægehjælp 83, Udv lungefunkt undersøgelse 9	On-call GP service 83, Udv lungefunkt examination 9	high	
3961	Vagtlægehjælp 83, Urin Blod Mv V.Stix1	On-call GP service 83, Urine blood etc. v.stix1	low	Y
3962	Vagtlægehjælp 83, Urin Til Resistens 6	On-call GP service 83, Urine to resistens 6	high	
3963	Vagtlægehjælp 83, Urin v. stix       1	On-call GP service 83, Urine v. stix 1	high	
3964	Vagtlægehjælp 83, vejledning af svangre 2142	On-call GP service 83, Guidance of pregnant women 2142	high	
3965	Vagtlægehjælp 83, vejledning af svangre 2141	On-call GP service 83, Guidance of pregnant women 2141	high	
3966	Vagtlægehjælp 83, afstandstakst og 10km	On-call GP service 83, Afstandstakst and 10km	high	
3967	Vagtlægehjælp 83, besøg a42	On-call GP service 83, Visit a42	high	
3968	Vagtlægehjælp 83, fj. ørevoks	On-call GP service 83, Removal. earwax	low	Y
3969	Vagtlægehjælp 83, konsultation a42	On-call GP service 83, Consultation a42	high	
3970	Vagtlægehjælp 83, psyk med test	On-call GP service 83, Psyk with test	high	
3971	Vagtlægehjælp 83, telefon konsultation med besøg a42	On-call GP service 83, Telephone consultation with visit a42	high	
3972	Vagtlægehjælp 83, telefon konsultation uden besøg a42	On-call GP service 83, Telephone consultation without visit a42	high	
3973	Vagtlægehjælp 83, ukendt	On-call GP service 83, Ukendt	high	
3974	Vagtlægehjælp 83, ¤2-B035 Kilometer	On-call GP service 83, ¤2-b035 kilometer	high	
3975	Vagtlægehjælp 83, ¤2.A35Afstandstillæg	On-call GP service 83, ¤2.a35afstandstillæg	low	Y
3976	Vagtlægehjælp 83, ¤2A35Kons.h./besøg	On-call GP service 83, ¤2a35kons.h./visit	high	
3977	Kak vagtlægehjælp 84, Besøg   0481	KAK on-call GP 84, Visit 0481	high	
3978	Kak vagtlægehjælp 84, Blærekaterisation	KAK on-call GP 84, Bladder catheterisation	high	
3979	Kak vagtlægehjælp 84, Fjernelse af ørevoks	KAK on-call GP 84, Removal of earwax	high	
3980	Kak vagtlægehjælp 84, Konsultation	KAK on-call GP 84, Consultation	high	
3981	Kak vagtlægehjælp 84, Kørselsgodtgør.  i	KAK on-call GP 84, Mileage allowance. in	low	Y
3982	Kak vagtlægehjælp 84, Ligsyn med Dødsattest	KAK on-call GP 84, Death inspection with death certificate	high	
3983	Kak vagtlægehjælp 84, Paracent.-Trommehnd	KAK on-call GP 84, Paracent.-trommehnd	high	
3984	Kak vagtlægehjælp 84, telefon konsultation	KAK on-call GP 84, Telephone consultation	high	
3985	Kak vagtlægehjælp 84, Tlfkons. med Recept	KAK on-call GP 84, Tlfkons. with recept	low	Y
